flag_id,flag_name,section,smarts,postprocess,rulebook_group,specificity,alert_level,interpretation,required_cofactors,applicability,false_positive_notes,confirmation_test,smarts_version,validation_status
FG_PH_POLYENE,has_polyene_chromophore,11,[CX3]=[CX3][CX3]=[CX3][CX3]=[CX3],,polyene_chromophore,medium,conditional_alert,광산화·이성화 후보,light;oxygen,parent,,ICH Q1B,1.1.0,draft
FG_PH_ENONE,has_alpha_beta_unsaturated_carbonyl,11,[CX3]=[CX3][CX3](=[OX1]),,alpha_beta_unsaturated_carbonyl,medium,conditional_alert,chromophore·Michael acceptor,light;nucleophile,parent,,ICH Q1B;adduct 시험,1.1.0,draft
FG_PH_AR_CARBONYL,has_aromatic_carbonyl,11,[c][CX3](=[OX1]),,aromatic_carbonyl,low,conditional_alert,광화학 후보,light,parent,흔한 motif — 우선순위 신호,ICH Q1B,1.1.0,draft
FG_PH_BENZOPHENONE,has_benzophenone_like,11,[c][CX3](=[OX1])[c],,benzophenone_like,medium,conditional_alert,광반응 후보,light,parent,,ICH Q1B,1.1.0,draft
FG_PH_STILBENE,has_stilbene_like_motif,11,[c][CH]=[CH][c],,stilbene_like_motif,medium,conditional_alert,E/Z 광이성화 후보,light,parent,,ICH Q1B,1.1.0,draft
FG_PH_N_OXIDE,has_n_oxide,11,"[n+,N+][O-]",,n_oxide,high,conditional_alert,광·산화환원 후보,light;reductant,parent,,ICH Q1B;oxidative stress,1.1.0,draft
FG_PH_ARYL_BR,has_aryl_bromide,11,[c][Br],,aryl_bromide,low,conditional_alert,낮은 특이도의 광분해 우선순위 신호,light,parent,단독으로 photolabile 확정 금지,ICH Q1B,1.1.0,draft
FG_PH_ARYL_I,has_aryl_iodide,11,[c][I],,aryl_iodide,low,conditional_alert,낮은 특이도의 광분해 우선순위 신호,light,parent,단독으로 photolabile 확정 금지,ICH Q1B,1.1.0,draft
FG_PH_NITROAROMATIC,has_nitroaromatic,11,"[c][$([NX3+](=O)[O-]),$([NX3](=O)=O)]",,nitroaromatic,high,conditional_alert,광화학·환원 후보,light;reductant,parent,,ICH Q1B,1.1.0,draft
FG_SF_PEG,has_peg_or_glycol_chain,12,[OX2][CX4H2][CX4H2][OX2][CX4H2][CX4H2][OX2],,peg_or_glycol_chain,low,fact,수화 경향 보조; 낮은 특이도,humidity,parent,위험도와 단조 관계 아님,DVS,1.1.0,draft
