excipient_id,excipient_name_en,excipient_name_kr,e_number,unii,cas_number,functional_category,secondary_function,route,dosage_form,typical_use_pct_min,typical_use_pct_max,iid_max_potency_mg,iid_max_potency_source_date,ema_annex_listed,ema_annex_threshold,ema_annex_concern,ema_annex_version,ema_annex_retrieved_on,pediatric_flag,moisture_sensitive_api_compatible,hygroscopic,reducing_sugar,alkaline_surface_ph,process_compatibility,incompat_trigger,source_ref,verification_status
EXC015,Fructose,과당,,TO_VERIFY,TO_VERIFY,diluent,sweetener,oral,tablet;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero; 5 mg/kg/day,Hereditary fructose intolerance (HFI); dental harm on prolonged oral contact,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,no,yes,yes,no,WG,maillard_amine,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC016,Dibasic calcium phosphate dihydrate,인산수소칼슘수화물,,TO_VERIFY,TO_VERIFY,diluent,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,yes,DC;WG;DG,acid_labile_api,HPE;IID,SCHEMA_ONLY
EXC017,Dibasic calcium phosphate anhydrous,무수인산수소칼슘,,TO_VERIFY,TO_VERIFY,diluent,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,yes,DC;DG,acid_labile_api,HPE;IID,SCHEMA_ONLY
EXC018,Tribasic calcium phosphate,인산삼칼슘,,TO_VERIFY,TO_VERIFY,diluent,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,yes,DC;DG,acid_labile_api,HPE;IID,SCHEMA_ONLY
EXC019,Calcium carbonate,탄산칼슘,,TO_VERIFY,TO_VERIFY,diluent,antacid,oral,tablet;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,yes,DC;WG;DG,acid_labile_api,HPE;IID,SCHEMA_ONLY
EXC020,Calcium sulfate dihydrate,황산칼슘수화물,,TO_VERIFY,TO_VERIFY,diluent,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC021,Maize starch (corn starch),옥수수전분,,TO_VERIFY,TO_VERIFY,diluent,binder;disintegrant,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,DC;WG,,HPE;IID,SCHEMA_ONLY
EXC022,Pregelatinized starch,전호화전분,,TO_VERIFY,TO_VERIFY,diluent,binder;disintegrant,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,DC;WG,,HPE;IID,SCHEMA_ONLY
EXC023,Wheat starch,밀전분,,TO_VERIFY,TO_VERIFY,diluent,binder;disintegrant,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,Contains gluten from wheat starch; wheat allergy is a contraindication. 'Gluten-free' claim only if finished product <20 ppm gluten,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,no,yes,no,no,DC;WG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC024,Croscarmellose sodium,크로스카르멜로오스나트륨,,TO_VERIFY,TO_VERIFY,disintegrant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,DC;WG;DG,sodium_load,HPE;IID,SCHEMA_ONLY
EXC025,Sodium starch glycolate,전분글리콜산나트륨,,TO_VERIFY,TO_VERIFY,disintegrant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,DC;WG;DG,sodium_load,HPE;IID,SCHEMA_ONLY
EXC026,Crospovidone,크로스포비돈,,TO_VERIFY,TO_VERIFY,disintegrant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC027,Low-substituted hydroxypropyl cellulose,저치환도히드록시프로필셀룰로오스,,TO_VERIFY,TO_VERIFY,disintegrant,binder,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC028,Alginic acid,알긴산,,TO_VERIFY,TO_VERIFY,disintegrant,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,DC;WG,,HPE;IID,SCHEMA_ONLY
EXC029,Povidone (PVP),포비돈,,TO_VERIFY,TO_VERIFY,binder,solubilizer,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,WG;DG,,HPE;IID,SCHEMA_ONLY
EXC030,Copovidone,코포비돈,,TO_VERIFY,TO_VERIFY,binder,solubilizer,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC031,Hypromellose (HPMC),히프로멜로오스,,TO_VERIFY,TO_VERIFY,binder,film-coating;matrix-former,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,WG;DG;coating,,HPE;IID,SCHEMA_ONLY
EXC032,Hydroxypropyl cellulose,히드록시프로필셀룰로오스,,TO_VERIFY,TO_VERIFY,binder,film-coating,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,WG;DG;coating,,HPE;IID,SCHEMA_ONLY
EXC033,Methylcellulose,메틸셀룰로오스,,TO_VERIFY,TO_VERIFY,binder,matrix-former,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,WG,,HPE;IID,SCHEMA_ONLY
EXC034,Carboxymethylcellulose sodium,카르복시메틸셀룰로오스나트륨,,TO_VERIFY,TO_VERIFY,binder,viscosity-modifier,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,WG,sodium_load,HPE;IID,SCHEMA_ONLY
EXC035,Ethylcellulose,에틸셀룰로오스,,TO_VERIFY,TO_VERIFY,binder,sustained-release-coating,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DG;coating,,HPE;IID,SCHEMA_ONLY
EXC036,Gelatin,젤라틴,,TO_VERIFY,TO_VERIFY,binder,capsule-shell,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,WG,,HPE;IID,SCHEMA_ONLY
EXC037,Acacia (gum arabic),아카시아검,,TO_VERIFY,TO_VERIFY,binder,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,WG,,HPE;IID,SCHEMA_ONLY
EXC038,Magnesium stearate,스테아르산마그네슘,,TO_VERIFY,TO_VERIFY,lubricant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,yes,DC;WG;DG,acid_labile_api;overblend_risk,HPE;IID,SCHEMA_ONLY
EXC039,Calcium stearate,스테아르산칼슘,,TO_VERIFY,TO_VERIFY,lubricant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,yes,DC;WG;DG,acid_labile_api,HPE;IID,SCHEMA_ONLY
EXC040,Sodium stearyl fumarate,스테아릴푸마르산나트륨,,TO_VERIFY,TO_VERIFY,lubricant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG;DG,sodium_load,HPE;IID,SCHEMA_ONLY
EXC041,Stearic acid,스테아르산,,TO_VERIFY,TO_VERIFY,lubricant,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC042,Glyceryl behenate,글리세릴베헤네이트,,TO_VERIFY,TO_VERIFY,lubricant,matrix-former,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC043,Colloidal silicon dioxide,콜로이드성이산화규소,,TO_VERIFY,TO_VERIFY,glidant,,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,DC;WG;DG,,HPE;IID,SCHEMA_ONLY
EXC044,Talc,활석,,TO_VERIFY,TO_VERIFY,glidant,anti-adherent,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG;DG;coating,,HPE;IID,SCHEMA_ONLY
EXC045,Sodium lauryl sulfate (sodium laurilsulfate),라우릴황산나트륨,,TO_VERIFY,TO_VERIFY,surfactant,wetting-agent;solubilizer,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero - CUTANEOUS ROUTE ONLY (Rev.2 confirmed),EMA Annex Rev.2 entry covers the CUTANEOUS route only (local skin reactions). The Annex contains NO oral pediatric mg limit for SLS. Confirmed against Rev.2 full text 2026-07-24,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,DC;WG;DG,,HPE;EMA_ANNEX;STEP;IID,UNVERIFIED_CRITICAL
EXC046,Poloxamer 188,폴록사머 188,,TO_VERIFY,TO_VERIFY,surfactant,solubilizer,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,WG;DG,,HPE;IID,SCHEMA_ONLY
EXC047,Polysorbate 80,폴리소르베이트 80,,TO_VERIFY,TO_VERIFY,surfactant,wetting-agent,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,no,yes,no,no,WG,,HPE;IID,SCHEMA_ONLY
EXC048,Betadex (beta-cyclodextrin),베타덱스,E 459,TO_VERIFY,TO_VERIFY,solubilizer,complexing-agent,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,20 mg/kg/day (all routes); 200 mg/kg/day (oral),Not in children <2 years unless recommended by physician; GI effects (diarrhoea) at high oral dose,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,yes,no,no,WG;DG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC049,Hydroxypropyl betadex,히드록시프로필베타덱스,,TO_VERIFY,TO_VERIFY,solubilizer,complexing-agent,oral,tablet;capsule,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,20 mg/kg/day (all routes); 200 mg/kg/day (oral),Same cyclodextrin class entry as betadex,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,yes,no,no,WG;DG,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC050,Polyvinyl alcohol,폴리비닐알코올,,TO_VERIFY,TO_VERIFY,film-coating,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC051,Macrogol / PEG 3350,마크로골 3350,,TO_VERIFY,TO_VERIFY,plasticizer,film-coating,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC052,Macrogol / PEG 6000,마크로골 6000,,TO_VERIFY,TO_VERIFY,plasticizer,film-coating,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC053,Triethyl citrate,트리에틸시트레이트,,TO_VERIFY,TO_VERIFY,plasticizer,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC054,Glycerol,글리세롤,E 422,TO_VERIFY,TO_VERIFY,plasticizer,humectant;sweetener,oral,tablet;coating,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,10 g per dose (oral),"Headache, stomach upset, diarrhoea at >=10 g oral",EMA/CHMP/302620/2017 Rev.2,2026-07-24,acceptable,no,yes,no,no,WG;coating,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC055,Propylene glycol,프로필렌글리콜,E 1520,TO_VERIFY,TO_VERIFY,plasticizer,solvent,oral,tablet;coating,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,1 mg/kg/day; 50 mg/kg/day; 500 mg/kg/day,Neonates <4 weeks require physician consult; not for children <5 years above 500 mg/kg/day; hepatic/renal impairment caution,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,no,yes,no,no,WG;coating,,HPE;EMA_ANNEX;IID,SCHEMA_ONLY
EXC056,Methacrylic acid copolymer (Eudragit L/S),메타크릴산공중합체,,TO_VERIFY,TO_VERIFY,enteric-coating,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC057,Hypromellose phthalate,히프로멜로오스프탈레이트,,TO_VERIFY,TO_VERIFY,enteric-coating,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC058,Shellac,셸락,,TO_VERIFY,TO_VERIFY,enteric-coating,,oral,tablet,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC059,Titanium dioxide,이산화티타늄,E 171,TO_VERIFY,TO_VERIFY,colorant,opacifier,oral,tablet(coating),TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,"Not listed in EMA Annex Rev.2 (confirmed against full text 2026-07-24). EU regulatory status has been subject to change - jurisdiction-dependent, must be confirmed per target market",,,restricted,yes,no,no,no,coating,,IID,UNVERIFIED_CRITICAL
EXC060,Tartrazine,타트라진,E 102,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet;capsule;coating,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,Azo colouring agent - may cause allergic reactions,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,coating,azo_dye,EMA_ANNEX;IID,SCHEMA_ONLY
EXC061,Sunset yellow FCF,선셋옐로우 FCF,E 110,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet;capsule;coating,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,Azo colouring agent - may cause allergic reactions,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,coating,azo_dye,EMA_ANNEX;IID,SCHEMA_ONLY
EXC062,Azorubine (carmoisine),아조루빈(카르모이신),E 122,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet;capsule;coating,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,Azo colouring agent - may cause allergic reactions,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,coating,azo_dye,EMA_ANNEX;IID,SCHEMA_ONLY
EXC063,Amaranth,아마란스,E 123,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet;capsule;coating,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,Azo colouring agent - may cause allergic reactions,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,coating,azo_dye,EMA_ANNEX;IID,SCHEMA_ONLY
EXC064,Ponceau 4R (cochineal red A),폰소 4R,E 124,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet;capsule;coating,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,Azo colouring agent - may cause allergic reactions,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,coating,azo_dye,EMA_ANNEX;IID,SCHEMA_ONLY
EXC065,Brilliant black BN,브릴리언트블랙 BN,E 151,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet;capsule;coating,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,Azo colouring agent - may cause allergic reactions,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,coating,azo_dye,EMA_ANNEX;IID,SCHEMA_ONLY
EXC066,Iron oxide yellow,황색산화철,E 172,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet(coating),TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC067,Iron oxide red,적색산화철,E 172,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet(coating),TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC068,Iron oxide black,흑색산화철,E 172,TO_VERIFY,TO_VERIFY,colorant,,oral,tablet(coating),TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,coating,,HPE;IID,SCHEMA_ONLY
EXC069,Aspartame,아스파탐,E 951,TO_VERIFY,TO_VERIFY,sweetener,,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,Source of phenylalanine - harmful in phenylketonuria (PKU). No non-clinical or clinical data available below 12 weeks of age,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,DC;WG,pku_contraindication,EMA_ANNEX;IID,SCHEMA_ONLY
EXC070,Saccharin sodium,사카린나트륨,E 954,TO_VERIFY,TO_VERIFY,sweetener,,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,DC;WG,sodium_load,HPE;IID,SCHEMA_ONLY
EXC071,Acesulfame potassium,아세설팜칼륨,E 950,TO_VERIFY,TO_VERIFY,sweetener,,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,no,no,no,DC;WG,,HPE;IID,SCHEMA_ONLY
EXC072,Sucralose,수크랄로스,E 955,TO_VERIFY,TO_VERIFY,sweetener,,oral,tablet;ODT;chewable,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,DC;WG,,HPE;IID,SCHEMA_ONLY
EXC073,Thaumatin,타우마틴,E 957,TO_VERIFY,TO_VERIFY,sweetener,flavor-enhancer,oral,tablet;ODT,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,no,,,,,acceptable,yes,yes,no,no,DC;WG,,HPE;IID,SCHEMA_ONLY
EXC074,Sodium benzoate,안식향산나트륨,E 211,TO_VERIFY,TO_VERIFY,preservative,,oral,tablet;oral-liquid,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,May increase jaundice in newborns (up to 4 weeks old); bilirubin displacement with kernicterus risk,EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,yes,no,no,WG,neonate_jaundice;sodium_load,EMA_ANNEX;IID,SCHEMA_ONLY
EXC075,Potassium benzoate,안식향산칼륨,E 212,TO_VERIFY,TO_VERIFY,preservative,,oral,tablet;oral-liquid,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,May increase jaundice in newborns (up to 4 weeks old),EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,yes,no,no,WG,neonate_jaundice,EMA_ANNEX;IID,SCHEMA_ONLY
EXC076,Methyl parahydroxybenzoate,메틸파라벤,E 218,TO_VERIFY,TO_VERIFY,preservative,,oral,tablet;oral-liquid,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,May cause allergic reactions (possibly delayed),EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,WG,paraben_allergy,EMA_ANNEX;IID,SCHEMA_ONLY
EXC077,Propyl parahydroxybenzoate,프로필파라벤,,TO_VERIFY,TO_VERIFY,preservative,,oral,tablet;oral-liquid,TO_VERIFY,TO_VERIFY,TO_VERIFY,TO_VERIFY,yes,Zero,May cause allergic reactions (possibly delayed),EMA/CHMP/302620/2017 Rev.2,2026-07-24,restricted,yes,no,no,no,WG,paraben_allergy,EMA_ANNEX;IID,SCHEMA_ONLY
