config_id,csv_filename,category,judgment_type,engine_module,trigger_condition,trigger_priority,join_key,default_action_column,reviewer_agent,reviewer_id_ref,requires_patient_weight,requires_supplier_spec,blocking,status,notes
CFG013,03_process/residual_solvent_ich_q3c_rules.csv,process,deterministic,numeric_compare,solvent_used==True,5,solvent,action,,,no,no,yes,ACTIVE,ICH Q3C 잔류용매 한계. 실측(HS-GC) 후 판정. Class1 회피
CFG024,04_biopharmaceutics/bcs_classification_criteria.csv,biopharm,reference_table,lookup,always,6,bcs_class,,,,no,no,no,ACTIVE,ICH M9 분류 경계값. RDKit 계산 용해도/투과도를 class로 변환하는 기준. LEGACY 행은 구기준이므로 판정 사용 금지
CFG014,04_biopharmaceutics/dissolution_acceptance_usp711.csv,biopharm,deterministic,numeric_compare,always,6,stage,,,,no,no,yes,ACTIVE,USP<711> QC 판정. Q값은 개별 monograph에서 와야 함(이 파일엔 없음)
CFG025,04_biopharmaceutics/dissolution_apparatus_usp711.csv,biopharm,reference_table,lookup,always,6,apparatus_number,,,,no,no,no,ACTIVE,USP<711> 장치 사양. 시험 조건 선택용 참조
CFG026,04_biopharmaceutics/dissolution_biowaiver_ichm9.csv,biopharm,hybrid,lookup,always,6,bcs_class,,가용화 전략 심사관,,no,no,no,ACTIVE,ICH M9 바이오웨이버 프로파일. f2 계산은 심사관 검토
CFG015,04_biopharmaceutics/bcs_strategy_rules.csv,biopharm,hybrid,numeric_compare,"bcs_class in ['II','IV']",6,bcs_class,action,가용화 전략 심사관,REV002,no,no,no,ACTIVE,BCS class별 전략. 분류 자체는 bcs_classification_criteria.csv가 결정
CFG016,04_biopharmaceutics/analytical_method_rules.csv,biopharm,advisory,method_advisor,always,7,selection_type,,가용화 전략 심사관,,no,no,no,ACTIVE,시험법 개발 제안(판정 아님). monograph 있으면 monograph 우선. 전 규칙 REVIEWER_FLAG
CFG017,05_regulatory/pediatric_safety_rules.csv,regulatory,deterministic,numeric_compare,target_population=='pediatric' or patient_condition in rule.age_group,2,excipient_name_en,action,소아 안전 심사관,REV001,yes,no,yes,ACTIVE,체중 기반 임계값(mg/kg) 존재 -> 환자 체중 없으면 ESCALATE_TO_HUMAN 폴백 필수
CFG018,05_regulatory/stability_storage_conditions_ichq1a.csv,regulatory,reference_table,reference_table,always,7,storage_case,,,,no,no,no,ACTIVE,ICH Q1A(R2) 저장조건표. 시험 설계 계획용 참조(판정 아님). 실제 안정성은 실험 데이터 필요
CFG029,05_regulatory/stability_significant_change_ichq1a.csv,regulatory,hybrid,numeric_compare,always,7,attribute,,,,no,no,partial,ACTIVE,ICH Q1A(R2) 유의변화 정의. 실측 안정성 데이터가 있을 때만 판정 가능
CFG019,05_regulatory/packaging_compatibility_rules.csv,regulatory,hybrid,lookup,hygroscopic==True or light_sensitive==True,7,product_property,action,규제 취지 심사관,REV004,no,no,no,ACTIVE,포장 적합성. 흡습/차광/산소/CRC. stability·coating 연계
CFG020,05_regulatory/coloring_flavoring_pediatric_rules.csv,regulatory,escalation,human_review,flavoring_used==True or colorant_used==True,2,excipient_id,action,문헌 조사 심사관,REV005,no,yes,yes,ACTIVE,색소/향료/감미. EMA Annex 기반. 향료조성 미확인시 에스컬레이션
CFG021,06_config/severity_scoring_config.csv,system,config,consensus_engine,always,99,category,,,,no,no,no,ACTIVE,"B모델: 점수는 순위결정 전용, 반려 권한 없음. 가중치 잠정값(본선 자문 보정 예정)"
CFG023,06_config/reviewer_registry.csv,system,config,consensus_engine,always,99,,,,,no,no,no,ACTIVE,심사관 정의 및 순위 가중치. can_block=no (B모델)
