measurement_id,name_kr,tier,indicative_sample_mg,method_summary,output_fields,unlocks,source_citation,verification_status,seed_review_status,notes
M_FORCED,강제분해 (stress stability),3,200,산·염기·산화·열·광 조건에서 5–20 % 분해를 목표로 stability-indicating HPLC를 확립한다,forced_degradation_done;degradation_pathways_json,구조 경고(에스터·아민·페놀 등)가 예측한 분해 경로의 실측 확인,ICH Q1A(R2) 2.1.2,VERIFIED_PRIMARY,pending_team_review,이것이 없으면 이후 모든 안정성 판단이 근거를 잃는다(알고리즘 문서 §4 Tier 3)
M_POLYSCR,다형 스크리닝,3,300,용매 20–30종 × 냉각/증발/anti-solvent/slurry 조합으로 결정화를 유도하고 각 산물을 XRPD로 비교한다,polymorph_count;most_stable_form_id,열역학적 안정형 확정 — 규제 자료 요건,ICH Q6A (1999) — 다형 관리 취지,VERIFIED_PRIMARY,pending_team_review,단일 회절 패턴(M_XRPD)만으로는 대체 불가
M_GFA,유리 형성능 (급랭-재가열 DSC),3,20,용융물을 급랭한 뒤 재가열하며 재결정 여부를 DSC로 관찰한다,gfa_class,ASD 후보의 물리적 안정성 신뢰도 보강(Tg 여유 계산의 검증),Baird JA Van Eerdenbrugh B Taylor LS 2010 J Pharm Sci 99:3787,VERIFIED_SECONDARY,pending_team_review,Class I(재결정)이면 ASD 부적합 신호로 피드백
M_PSD,입도분포 (레이저회절),3,50,습식 또는 건식 레이저 회절로 입도분포(d10/d50/d90)를 측정한다,psd_d50_um;psd_d90_um,MICRO 전략의 목표 입도 확인 · 함량균일성 위험 판단,알고리즘 문서 §9 (Egermann–Frank 접근),VERIFIED_SECONDARY,pending_team_review,
M_PFLOW,분체 유동성 (안식각·Carr지수·Hausner비),3,50,안식각(고정깔때기법)과 벌크/탭밀도로 Carr지수·Hausner비를 계산한다,angle_of_repose_deg;compressibility_index_percent;hausner_ratio,Gate 6R 공정 경로(직접타정 가능 여부) 결정,USP General Chapter ⟨1174⟩ Powder Flow,VERIFIED_PRIMARY,pending_team_review,
M_COMPACT,압축성 (타정압-인장강도),3,300,compaction simulator 또는 소량 정제 press로 타정압 대비 인장강도 곡선을 얻는다,tensile_strength_mpa_at_target_pressure,공정 세부 규칙(G6P)의 압축성 판정 보조 · 자동 요청 트리거 없음(선택),알고리즘 문서 §4 Tier 3 (Hiestand & Smith 1984 Powder Technol 38:145),VERIFIED_SECONDARY,pending_team_review,
M_SALT_SCREEN,염/공결정 스크리닝,strategy,300,후보 짝이온/공형성체 16–24종에 대해 결정성·Tm·흡습성·용해도·disproportionation 위험을 스크리닝한다,salt_screen_done;selected_counterion,Gate 3B 권고를 실제 후보로 좁힘,Serajuddin 2007 Adv Drug Deliv Rev 59:603,VERIFIED_SECONDARY,pending_team_review,
M_ASD_FEAS,ASD 실현성 (혼화성·과포화·가속안정성),strategy,300,"필름캐스팅으로 polymer 혼화성(단일 Tg) 확인, pH-shift 비평형 용출로 과포화 유지력(parachute) 확인, 40 °C/75 %RH 가속 후 XRPD로 재결정 여부 확인",asd_feasibility_done;asd_miscible;supersaturation_auc,ASD_SDD/ASD_HME 후보의 신뢰도(provisional→grounded),Hancock & Parks 2000 Pharm Res 17:397; Taylor & Zhang 2016 Adv Drug Deliv Rev 101:122,VERIFIED_SECONDARY,pending_team_review,
M_SEDDS_FEAS,SEDDS 실현성 (삼상도·액적크기·소화중 침전),strategy,300,삼상도로 자가유화 영역을 정하고 유화 후 액적크기(DLS)를 측정하며 in vitro lipolysis(pH-stat)로 소화 중 침전을 확인한다,sedds_feasibility_done;droplet_size_nm,LBF_SEDDS 후보의 신뢰도(provisional→grounded),Pouton 2006 Eur J Pharm Sci 29:278; Williams et al. 2013 Pharmacol Rev 65:315,VERIFIED_SECONDARY,pending_team_review,
M_CD_FEAS,CD 포접 실현성 (phase-solubility),strategy,100,Higuchi–Connors phase-solubility법으로 안정도상수 K1:1과 포접 유형(AL/AN 등)을 구한다,cd_feasibility_done;k11_m_inv,CD 후보의 신뢰도(provisional→grounded) · 실용 몰비 확인,Higuchi T Connors KA 1965 Adv Anal Chem Instrum 4:117; Loftsson & Brewster 2010 J Pharm Pharmacol 62:1607,VERIFIED_PRIMARY,pending_team_review,K1:1 100–5000 M⁻¹이면 실용적(알고리즘 문서 §7 분기 3)
