rule_id,category,property_name,unit,applicability,rule_type,lower_operator,low_threshold,upper_operator,high_threshold,risk_level,measurement_condition,rule_logic,interpretation,recommended_action,required_companion_data,evidence_basis,source_url,hard_rule,version
STAB_01,stability,solution_stability,percent_remaining,all_API,required_dataset,,,,,Unknown,Relevant pH temperature light oxygen and time conditions,Characterize hydrolysis oxidation photolysis and other degradation pathways,Solubility measurements are uninterpretable when substantial degradation occurs,Use stability-indicating analytics and separate dissolved intact API from degradants,pH;temperature;light;oxygen;analytical_method,ICH M9 for solubility-media stability,https://www.fda.gov/media/148472/download,true,2.0
STAB_02,stability,GI_media_degradation,percent_degraded,BCS_permeability_support,numeric_range,>,10,,,High,37 C; representative gastric exposure 1 h and intestinal exposure 3 h when required,Degradation > 10%,Precludes the relevant ICH M9 high-permeability support pathway,Resolve instability or use appropriate human evidence,media;exposure_time;validated_assay,ICH M9,https://www.fda.gov/media/148472/download,true,2.0
STAB_03,stability,solid_state_stability,category,solid_API,required_dataset,,,,,Unknown,Stress and long-term conditions appropriate to development phase,Assess heat humidity light oxygen and form conversion,Stability risk cannot be inferred from hygroscopicity or melting point alone,Use stability-indicating methods and evaluate protective processing/packaging,water_activity;DVS;solid_form;impurities;photostability,ICH Q1 and Q8 principles,https://www.fda.gov/media/71535/download,true,2.0
PRECIP_01,biopharmaceutics,pH_shift_precipitation,category,ionizable_poorly_soluble_API,required_dataset,,,,,Unknown,Gastric-to-intestinal pH shift in biorelevant media at dose-relevant concentration,Measure supersaturation duration precipitation rate and solid form,Weak bases and other pH-dependent compounds may dissolve in stomach and precipitate in intestine,Evaluate precipitation inhibitors salt choice ASD or other enabling approaches only after measurement,pka;dose;solubility_pH_profile;solid_form,Mechanistic biopharmaceutics assessment,,false,2.0
WET_01,powder_properties,wettability,contact_angle_or_wetting_time,poorly_soluble_or_hydrophobic_API,required_dataset,,,,,Unknown,Defined medium temperature particle size and surface history,Measure wetting rather than inferring it from logP alone,Poor wetting can limit apparent dissolution,Assess surfactant wetting agent or particle engineering using dissolution confirmation,clogp;particle_size;surface_area;dissolution,Mechanistic preformulation assessment,,false,2.0
AREA_01,powder_properties,specific_surface_area,m2/g,micronized_or_porous_API,required_dataset,,,,,Unknown,BET method with defined degassing conditions,Record surface area when particle engineering is used,Surface area can affect dissolution adsorption moisture and reactivity,Link target range to dissolution and stability performance,particle_size;porosity;dissolution;stability,ICH Q8 risk-based development,https://www.fda.gov/media/71535/download,false,2.0
COMPAT_01,compatibility,API_excipient_compatibility,category,proposed_formulation,required_dataset,,,,,Unknown,Mixtures and controls under justified stress with stability-indicating analysis,Assess chemical and physical interactions with candidate excipients,Compatibility is formulation-specific and cannot be predicted from API thresholds alone,Confirm flagged interactions in realistic formulations and conditions,excipient_identity;ratio;moisture;temperature;analytical_method,ICH Q8 pharmaceutical development,https://www.fda.gov/media/71535/download,true,2.0
SALT_01,form_selection,salt_form_feasibility,category,ionizable_API,composite,,,,,Unknown,Use pKa delta solubility crystallinity hygroscopicity and stability evidence,Salt feasibility is not determined by pKa alone,A salt may improve handling or dissolution but can disproportionate or precipitate,Screen counterions and free-form conversion under GI/process conditions,ionization_type;pka;intrinsic_solubility;solid_form;hygroscopicity;precipitation,Form-selection best practice,,false,2.0
PKG_01,packaging,moisture_protection_need,category,solid_drug_product,composite,,,,,Calculated,Use drug-product stability moisture permeability and use conditions,Do not assign foil-foil/desiccant solely from API hygroscopicity class,Packaging requirement is a product-level decision,Select package using stability studies and moisture-vapor transmission modeling where appropriate,API_hygroscopicity;excipient_hygroscopicity;product_stability;package_MVTR;in_use_period,ICH Q8 risk-based development,https://www.fda.gov/media/71535/download,true,2.0
FORM_01,decision_control,formulation_strategy,category,all_API,composite,,,,,Calculated,Integrate dose solubility permeability precipitation solid-state stability and manufacturability,No single descriptor automatically mandates ASD SEDDS nanocrystal salt or granulation,Formulation recommendations must be conditional and evidence-linked,Rank options using compound-specific experiments and a target product profile,dose;route;release_profile;solubility;permeability;solid_form;stability;powder_properties,Quality-by-design principle,https://www.fda.gov/media/71535/download,true,2.0
