rule_id,excipient_name_en,excipient_name_kr,e_number,route,age_group,age_min_value,age_min_unit,age_max_value,age_max_unit,threshold_value,threshold_unit,threshold_basis,comparator,action,rationale,leaflet_requirement,smpc_requirement,source_doc,source_version,source_updated_on,retrieved_on,verification_status
PED012,Propylene glycol,프로필렌글리콜,E 1520,oral,neonate_under_4weeks,0,weeks,4,weeks,1,mg/kg/day,body_weight_per_day,gt,ESCALATE_TO_HUMAN,알코올탈수소효소 기질(에탄올 등)과 병용 시 신생아에서 중대한 이상반응 유발 가능,생후 4주 미만 시 의사·약사 상담 필요,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED013,Propylene glycol,프로필렌글리콜,E 1520,oral,child_under_5years,0,years,5,years,50,mg/kg/day,body_weight_per_day,gt,REVIEWER_FLAG,5세 미만 소아에서 알코올탈수소효소 기질 병용 시 이상반응 유발 가능,5세 미만 시 의사·약사 상담 필요,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED014,Propylene glycol,프로필렌글리콜,E 1520,oral,child_under_5years,0,years,5,years,500,mg/kg/day,body_weight_per_day,gt,HARD_FAIL,"고용량·장기 사용에서 고삼투압, 젖산산증, 신기능장애, 심독성, 중추신경계 장애, 용혈 등 보고. 5세 미만 사용 금지",5세 미만 소아에 사용 금지,"5세 초과 소아에서 500 mg/kg/day 초과는 개별 판단, 의학적 모니터링 필요",EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED015,Propylene glycol,프로필렌글리콜,E 1520,all,all,,,,,1,mg/kg/day,body_weight_per_day,gt,LABEL_REQUIRED,threshold 1 mg/kg/day 초과 시 함량 표기 대상,함량(mg/단위) 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED016,Ethanol,에탄올,,oral,all,,,,,0,mg,per_dose,gt,LABEL_REQUIRED,Rev.2 개정. 정제 코팅 등 공정용제로 사용되어 ICH Q3C 수준 이하로 증발된 경우에는 환자정보 기재 불필요,"함량 및 맥주·와인 환산량 기재, 알코올량이 미미함을 명시",,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,22/11/2019,2026-07-24,VERIFIED
PED017,Ethanol,에탄올,,oral,child_any,0,years,18,years,15,mg/kg,per_dose,gt,REVIEWER_FLAG,성인·청소년에서는 영향 가능성 낮으나 어린 소아에서는 졸음 등 영향 가능,소아에서 졸음 등 영향 가능성 기재,SmPC 4.5 상호작용 기재 권고,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,22/11/2019,2026-07-24,VERIFIED
PED018,Ethanol,에탄올,,oral,child_any,0,years,18,years,75,mg/kg,per_dose,gt,HARD_FAIL,소아에서 졸음·행동 변화·집중력 및 신체활동 저하 유발 가능성이 높음,"소아에 영향 가능성, 운전·기계조작 능력 영향 기재",,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,22/11/2019,2026-07-24,VERIFIED
PED019,Boric acid / borates,붕산 및 붕산염,,all,child_under_2years,0,years,2,years,1,mg B/day,boron_per_day,gt,HARD_FAIL,붕소는 장래 생식능력을 손상시킬 수 있음. 2세 미만 안전 한계 1 mg B/day (1 mg B = 5.7 mg 붕산),2세 미만 소아에 의학적 조언 없이 투여 금지,SmPC 4.4 및 4.6 경고,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,29/03/2022,2026-07-24,VERIFIED
PED020,Boric acid / borates,붕산 및 붕산염,,all,child_under_12years,2,years,12,years,3,mg B/day,boron_per_day,gt,HARD_FAIL,12세 미만 안전 한계 3 mg B/day,12세 미만 소아에 의학적 조언 없이 투여 금지,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,29/03/2022,2026-07-24,VERIFIED
PED021,Boric acid / borates,붕산 및 붕산염,,all,child_under_18years,12,years,18,years,7,mg B/day,boron_per_day,gt,HARD_FAIL,18세 미만 안전 한계 7 mg B/day. 임신부에서는 태아에 유해 가능,"18세 미만에 의학적 조언 없이 투여 금지, 임신 시 의사 상담",,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,29/03/2022,2026-07-24,VERIFIED
PED022,Fructose,과당,,oral,HFI_patient_any_age,,,,,0,mg,per_dose,gt,HARD_FAIL,유전성 과당불내증(HFI) 환자는 과당 분해 불가,HFI 진단 시 복용 전 의사 상담,HFI 환자 투여 금지,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED023,Fructose,과당,,oral,all,,,,,5,mg/kg/day,body_weight_per_day,gt,LABEL_REQUIRED,동시 투여 제품 및 식이 유래 과당·소르비톨의 가산 효과 고려 필요,당 불내증 또는 HFI 시 의사 상담,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED024,Sorbitol,소르비톨,E 420,oral,HFI_patient_any_age,,,,,0,mg,per_dose,gt,HARD_FAIL,소르비톨은 과당 공급원 — HFI 환자 금기,HFI 시 의사 상담,HFI 환자 투여 금지,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED025,Sorbitol,소르비톨,E 420,oral,all,,,,,140,mg/kg/day,body_weight_per_day,gt,REVIEWER_FLAG,위장관 불편감 및 경도 완하 작용. 경구 제품의 소르비톨 함량은 병용 경구약의 생체이용률에 영향 가능,위장관 불편·완하 작용 가능 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED026,Lactose,유당,,oral,galactose_intolerance_any_age,,,,,0,mg,per_dose,gt,HARD_FAIL,"갈락토스 불내증, 완전 유당분해효소 결핍, 포도당-갈락토스 흡수장애 환자 금기",당 불내증 시 의사 상담,해당 유전질환 환자 투여 금지,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED027,Lactose,유당,,oral,diabetes_any_age,,,,,5,g,per_dose,gte,LABEL_REQUIRED,1회 용량당 5 g 이상 시 당뇨 환자 고려사항,유당 함량(포도당/갈락토스 각 1/2) 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED028,Sucrose,백당,,oral,chewable_chronic_use,,,,,0,mg,per_dose,gt,REVIEWER_FLAG,저작정·트로키 등 치아 접촉 제형을 2주 이상 만성 사용 시 치아 손상 가능,치아에 유해할 수 있음 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED029,Glucose,포도당,,oral,chewable_chronic_use,,,,,0,mg,per_dose,gt,REVIEWER_FLAG,치아 접촉 제형의 만성 사용(2주 이상) 시 치아 손상 가능,치아에 유해할 수 있음 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED030,Mannitol,만니톨,E 421,oral,all,,,,,10,g,per_dose,gte,REVIEWER_FLAG,경도 완하 작용,경도 완하 작용 가능 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED031,Xylitol,자일리톨,E 967,oral,all,,,,,10,g,per_dose,gte,REVIEWER_FLAG,완하 작용 (열량 2.4 kcal/g),완하 작용 가능 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED032,Maltitol / Isomalt,말티톨/이소말트,E 965/E 953,oral,all,,,,,10,g,per_dose,gte,REVIEWER_FLAG,경도 완하 작용 (열량 2.3 kcal/g),경도 완하 작용 가능 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED033,Lactitol,락티톨,E 966,oral,all,,,,,10,g,per_dose,gte,REVIEWER_FLAG,경도 완하 작용 (열량 2.1 kcal/g),경도 완하 작용 가능 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED034,Sodium,나트륨,,oral,all,,,,,1,mmol,per_dose,lt,LABEL_REQUIRED,1 mmol Na = 23 mg Na = 58.4 mg NaCl. 1 mmol 미만이면 'sodium-free' 표기 가능. 소아 및 저나트륨식 환자에게 특히 유의,'실질적으로 나트륨 없음' 기재 가능,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED035,Sodium,나트륨,,oral,all,,,,,17,mmol,max_daily_dose,gte,REVIEWER_FLAG,17 mmol(391 mg)은 WHO 성인 권장 최대 1일 섭취량 2 g의 약 20%로 'high sodium'에 해당. 소아에서도 에너지 요구량에 비례하여 적용,저염식 권고 환자는 의사·약사 상담 기재,PRAC 권고 EMA/PRAC/234960/2015 참조,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,VERIFIED
PED036,Potassium,칼륨,,oral,all,,,,,1,mmol,per_dose,gte,LABEL_REQUIRED,신기능 저하 또는 칼륨 조절식 환자 고려,칼륨 함량(mmol/mg) 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED037,Azo colouring agents,아조계 색소,E 102/110/122/123/124/151,oral,all,,,,,0,mg,per_dose,gt,LABEL_REQUIRED,"알레르기 반응 유발 가능. 타트라진, 선셋옐로우, 아조루빈, 아마란스, 폰소4R, 브릴리언트블랙 포함",알레르기 반응 유발 가능 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED038,Parahydroxybenzoates,파라벤류,E 214/215/218/219 등,oral,all,,,,,0,mg,per_dose,gt,LABEL_REQUIRED,지연형을 포함한 알레르기 반응 유발 가능,알레르기 반응(지연형 가능) 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED039,Sulphites / metabisulphites,아황산염류,E 220-224/228,oral,all,,,,,0,mg,per_dose,gt,REVIEWER_FLAG,드물게 중증 과민반응 및 기관지경련 유발 가능,중증 과민반응·기관지경련 가능 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED040,Wheat starch,밀전분,,oral,wheat_allergy_any_age,,,,,0,mg,per_dose,gt,HARD_FAIL,밀 알레르기(셀리악병과 별개) 환자 금기,밀 알레르기 시 복용 금지,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017 (Corrigendum 19/11/2018),2026-07-24,VERIFIED
PED041,Wheat starch,밀전분,,oral,celiac_any_age,,,,,20,ppm,gluten_in_product,gte,REVIEWER_FLAG,완제품 글루텐 함량 20 ppm 미만일 때만 'gluten-free' 표기 가능,글루텐 함량(µg/단위) 기재,,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,09/10/2017 (Corrigendum 19/11/2018),2026-07-24,VERIFIED
PED042,Soya oil / hydrogenated soya oil,대두유,,oral,peanut_soya_allergy,,,,,0,mg,per_dose,gt,HARD_FAIL,땅콩·대두 알레르기 환자 금기 (아라키스유와 동일 취급),땅콩·대두 알레르기 시 사용 금지,SmPC 금기 기재,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED043,Arachis oil (peanut oil),아라키스유(땅콩유),,oral,peanut_soya_allergy,,,,,0,mg,per_dose,gt,HARD_FAIL,정제 아라키스유에도 땅콩 단백이 잔존 가능하며 PhEur 각조에 잔류 단백 시험이 없음,땅콩·대두 알레르기 시 사용 금지,SmPC 금기 기재,EMA_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,VERIFIED
PED044,Sodium lauryl sulfate,라우릴황산나트륨,,oral,pediatric_any,,,,,,,,,NOT_A_RULE,EMA Annex Rev.2의 SLS 항목은 경피(cutaneous) 경로 전용이며 경구 소아 mg 상한이 존재하지 않음. 중간발표의 '소아 SLS 10 mg' 기준은 본 문서로 뒷받침되지 않음,해당 없음,해당 없음,NONE_FOUND,EMA/CHMP/302620/2017 Rev.2 확인 결과 미수록,,2026-07-24,NO_SOURCE_FOUND
PED045,Titanium dioxide,이산화티타늄,E 171,oral,all,,,,,,,,,ESCALATE_TO_HUMAN,EMA Annex Rev.2에 미수록. EU 규제 지위가 변동되어 왔으므로 대상 시장별 최신 확인 필요,해당 없음,해당 없음,NOT_IN_ANNEX,EMA/CHMP/302620/2017 Rev.2,,2026-07-24,UNVERIFIED_CRITICAL
PED046,Fragrances containing allergens,향료(알레르겐 함유),,oral,all,,,,,0,mg,per_dose,gt,ESCALATE_TO_HUMAN,Annex의 향료 알레르겐 항목은 경피(topical) 경로 기준이며 26종 알레르겐 목록이 부록에 수록. 경구 제형의 향료 조성은 공급사 사양서로만 확인 가능하므로 에이전트가 단독 판정 불가,해당 알레르겐 명시 및 알레르기 반응 가능 기재,,EMA_ANNEX_APPENDIX,EMA/CHMP/302620/2017 Rev.2,09/10/2017,2026-07-24,ESCALATION_REQUIRED
